image_path,image_name,question,answer,position,split
brain_tumors_ct_scan/train_masks/10.png,10.png,Where is the tumour located in the MRI image?,The tumour is situated in the central region of the MRI image.,The tumor is in position center and near the center.,train
brain_tumors_ct_scan/train_masks/1000.png,1000.png,Can you describe the position of the tumor in the MRI scan?,"The tumor is found in the top left area, near the central part of the image.",The tumor appears to be located in position top left and which is near the center.,train
brain_tumors_ct_scan/train_masks/1001.png,1001.png,Can you describe the location of the tumour in the MRI image?,The tumour is positioned towards the top left and is near the central part of the image.,The tumor is visible in position top left and close to the center.,train
brain_tumors_ct_scan/train_masks/1002.png,1002.png,Where is the tumor located in the MRI image?,The tumor is located in the top left and near the center of the MRI image.,The tumor is marked in position top left and near the center.,train
brain_tumors_ct_scan/train_masks/1009.png,1009.png,Can you describe the position of the tumour in the MRI scan?,"The tumour is found in the top left area, near the central part of the image.",The tumor is located in position top left and near the center.,train
brain_tumors_ct_scan/train_masks/101.png,101.png,Can you describe the position of the tumor in the MRI image?,"The tumor is positioned in the top left part of the MRI image, near the center.",Position top left contains the tumor and which is near the center.,train
brain_tumors_ct_scan/train_masks/1018.png,1018.png,Where is the tumour located in the MRI image?,"The tumour is located in the top left area, close to the center of the image.",The tumor is found in position top left and which is near the center.,train
brain_tumors_ct_scan/train_masks/1019.png,1019.png,In which part of the MRI image can the tumour be found?,The tumour is positioned close to the middle of the MRI image.,In position top left and the tumor is situated near the center.,train
brain_tumors_ct_scan/train_masks/1020.png,1020.png,What is the position of the tumor in the MRI scan?,The tumor is situated in the top left and near the center of the MRI scan.,The tumor is observed in position top left and near the center.,train
brain_tumors_ct_scan/train_masks/1022.png,1022.png,Where is the tumor located in the MRI image?,The tumor is located in the top right and close to the center of the MRI image.,The tumor resides in position top right and close to the center.,train
brain_tumors_ct_scan/train_masks/1024.png,1024.png,What part of the MRI image shows the tumour?,"The tumour is positioned in the top right area, close to the center of the image.",In position top right and the tumor is near the center of the image.,train
brain_tumors_ct_scan/train_masks/1025.png,1025.png,Can you describe the location of the tumour in the MRI image?,"The tumour is situated in the top left portion of the image, near the central area.",The tumor is detected in position top left and close to the center.,train
brain_tumors_ct_scan/train_masks/103.png,103.png,Where is the tumour located within the MRI image?,The tumour is positioned in the top left area and near the center of the image.,The tumor is situated in position top left and close to the center.,train
brain_tumors_ct_scan/train_masks/1036.png,1036.png,What is the position of the tumour relative to the center of the image?,The tumour is near the center of the MRI image.,The tumor is positioned in center and close to the center.,train
brain_tumors_ct_scan/train_masks/1038.png,1038.png,Can you describe the location of the tumor in the MRI?,The tumor is found in the vicinity of the center of the MRI image.,Position center reveals the tumor and which is near the center.,train
brain_tumors_ct_scan/train_masks/104.png,104.png,Where is the tumour located in the MRI image?,The tumour is situated in the bottom left region of the MRI image.,The tumor appears to be located in position bottom left and which is not near the center.,train
brain_tumors_ct_scan/train_masks/1042.png,1042.png,Can you describe the position of the tumour relative to the center of the image?,The tumour is located close to the central area of the MRI image.,In position center and the tumor is situated near the center.,train
