image_path,image_name,question,answer,position,split
breast_tumors_ct_scan/train_masks/benign (1).png,benign (1).png,Where is the tumor located in the image?,The benign tumor is located in the top right and close to the center.,The tumor is detected in position top right and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (10).png,benign (10).png,In which part of the image is the tumor found?,"The tumor, which is benign, is situated in the top left region and not near the center.",The tumor is visible in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (101).png,benign (101).png,Can you describe the position of the tumor in the image?,"The benign tumor is positioned in the top right part of the image, away from the center.",The tumor lies in position top right and away from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (102).png,benign (102).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area of the image, away from the center.",The tumor lies in position top right and away from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (103).png,benign (103).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top left region and is not close to the center.",Position top left contains the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (104).png,benign (104).png,Can you describe the location of the tumor in the image?,The benign tumor is positioned in the top right part of the image and is distant from the center.,The tumor is present in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (105).png,benign (105).png,Where is the tumor located in the image?,The benign tumor is located near the center in the top right position.,Position top right reveals the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (106).png,benign (106).png,In which region of the image is the tumor situated?,"The tumor, classified as benign, is situated in the top left quadrant, not near the central region.",The tumor is observed in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (107).png,benign (107).png,Can you describe the location of the tumor in the image?,The benign tumor is positioned near the center of the image.,Position center reveals the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (108).png,benign (108).png,Where is the tumor located in the image?,The benign tumor is located in the top right area and is far from the center.,The tumor is located in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (109).png,benign (109).png,In which part of the image is the tumor found?,The benign tumor is located in the top left area and is not near the center.,Located in position top left and the tumor is away from the center.,train
breast_tumors_ct_scan/train_masks/benign (11).png,benign (11).png,What is the position of the benign tumor in the image?,The benign tumor is situated in the top right region and is away from the center.,Position top right reveals the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (110).png,benign (110).png,Where is the tumor located in the image?,The benign tumor is located in the top left area and is positioned away from the center.,Located in position top left and the tumor is away from the center.,train
breast_tumors_ct_scan/train_masks/benign (111).png,benign (111).png,In which part of the image is the tumor found?,"The tumor, classified as benign, is located in the top right region and is not centered.",Located in position top right and the tumor is away from the center.,train
breast_tumors_ct_scan/train_masks/benign (112).png,benign (112).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the top left portion of the image and is positioned far from the center.,The tumor is detected in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (113).png,benign (113).png,Where is the tumor located in the image?,The benign tumor is located in the top right area and close to the center.,The tumor is detected in position top right and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (114).png,benign (114).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated in the top left and close to the center.",The tumor is marked in position top left and near the center.,train
breast_tumors_ct_scan/train_masks/benign (115).png,benign (115).png,In which part of the image is the tumor situated?,The benign tumor is found near the center in the top right region of the image.,Position top right reveals the tumor and which is near the center.,train
breast_tumors_ct_scan/train_masks/benign (116).png,benign (116).png,Where is the tumor located in the image?,The benign tumor is located in the top left region and is positioned away from the center.,Located in position top left and the tumor is away from the center.,train
breast_tumors_ct_scan/train_masks/benign (117).png,benign (117).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top right quadrant of the image and is not near the center.",In position top right and the tumor is far from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (118).png,benign (118).png,In which part of the image is the benign tumor situated?,"The benign tumor is located in the top left region, away from the center of the image.",Position top left shows the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (119).png,benign (119).png,Where is the tumor located in the image?,"The benign tumor is positioned in the top left area of the image, away from the center.",The tumor lies in position top left and away from the center of the image.,train
breast_tumors_ct_scan/train_masks/benign (12).png,benign (12).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated in the top right and close to the center.",The tumor is present in position top right and near the center.,train
breast_tumors_ct_scan/train_masks/benign (121).png,benign (121).png,What is the location of the tumor relative to the center?,The benign tumor is found in the top right region and is distant from the center.,The tumor is situated in position top right and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (122).png,benign (122).png,Where is the tumor located in the image?,The benign tumor is located in the top left area and is not near the center.,Position top left shows the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (123).png,benign (123).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top right region and is not near the center.",The tumor is visible in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (124).png,benign (124).png,Can you describe the location of the tumor in the image?,"The benign tumor is positioned in the top left part of the image, close to the center.",The tumor is situated in position top left and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (125).png,benign (125).png,Where is the tumor located in the image?,The benign tumor is positioned in the top left area and close to the center.,The tumor is positioned in top left and close to the center.,train
breast_tumors_ct_scan/train_masks/benign (126).png,benign (126).png,What is the position of the tumor in the image?,"The tumor, which is benign, is located near the center in the top left area.",In position top left and the tumor is situated near the center.,train
breast_tumors_ct_scan/train_masks/benign (127).png,benign (127).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the top left part of the image and is positioned far from the center.,The tumor is marked in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (128).png,benign (128).png,Where is the tumor located in the image?,"The benign tumor is located in the top left area, away from the center.",The tumor is observed in position top left and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (129).png,benign (129).png,What is the position of the tumor in the image?,"The tumor, which is benign, is located in the top left region and is positioned away from the center.",In position top left and the tumor is situated far from the center.,train
breast_tumors_ct_scan/train_masks/benign (13).png,benign (13).png,Can you describe the position of the tumor in the image?,The benign tumor is found in the central and near-central areas of the image.,The tumor is observed in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (130).png,benign (130).png,Where is the tumor located in the image?,The benign tumor is located in the top left area and is not near the center.,The tumor is found in position top left and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (131).png,benign (131).png,What is the position of the tumor in the image?,"The tumor, which is benign, is situated close to the center.",The tumor is marked in position center and near the center.,train
breast_tumors_ct_scan/train_masks/benign (132).png,benign (132).png,Can you describe the position of the tumor in the image?,"The benign tumor is positioned in the top right region, which is not close to the center of the image.",Position top right contains the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (133).png,benign (133).png,Where is the tumor located in the image?,The benign tumor is situated in the top right area and close to the center.,The tumor is located in position top right and near the center.,train
breast_tumors_ct_scan/train_masks/benign (135).png,benign (135).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top left area, away from the center.",The tumor is identified in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (136).png,benign (136).png,Can you describe the position of the tumor in the image?,The benign tumor is positioned in the top left part of the image and is located away from the center.,The tumor is marked in position top left and far from the center.,train
breast_tumors_ct_scan/train_masks/benign (138).png,benign (138).png,Where is the tumor located in the image?,"The benign tumor is located in the top right area, away from the center.",The tumor is visible in position top right and away from the center.,train
breast_tumors_ct_scan/train_masks/benign (139).png,benign (139).png,In which part of the image is the tumor situated?,"The tumor, which is benign, is situated in the top right area and is not close to the center.",Position top right shows the tumor and which is not near the center.,train
breast_tumors_ct_scan/train_masks/benign (14).png,benign (14).png,Can you describe the location of the tumor in the image?,The benign tumor is found in the top right position and is not near the center of the image.,Located in position top right and the tumor is away from the center.,train
breast_tumors_ct_scan/train_masks/benign (140).png,benign (140).png,Where is the tumor located in the image?,The benign tumor is situated near the center of the image.,The tumor is situated in position center and close to the center.,train
