image_path,image_name,question,answer,position,split
polyp_endoscopy/train_masks/1.png,1.png,Where is the polyp located in the image?,The polyp is situated in the bottom left area of the image.,The tumor is visible in position bottom left and away from the center.,train
polyp_endoscopy/train_masks/10.png,10.png,In which part of the image is the polyp found?,The polyp is positioned towards the top left corner of the image.,The tumor is in position top left and far from the center.,train
polyp_endoscopy/train_masks/101.png,101.png,What is the location of the tumor relative to the image?,The tumor is positioned centrally and close to the center of the image.,The tumor lies in position center and near the center of the image.,train
polyp_endoscopy/train_masks/102.png,102.png,Where is the tumor located in the medical image?,The tumor is situated near the central area of the image.,The tumor is identified in position center and close to the center.,train
polyp_endoscopy/train_masks/103.png,103.png,Can you describe the position of the polyp relative to the image center?,The polyp is located close to the center of the image.,In position center and the tumor is situated near the center.,train
polyp_endoscopy/train_masks/104.png,104.png,Can you describe the location of the identified tumor?,"The tumor is located in the top right region, away from the center of the image.",The tumor is identified in position top right and far from the center.,train
polyp_endoscopy/train_masks/105.png,105.png,Where is the polyp located within the image?,The polyp is situated in the top right corner of the image.,In position top right and the tumor is far from the center of the image.,train
polyp_endoscopy/train_masks/107.png,107.png,Can you describe the position of the polyp in the image?,The polyp is situated in the central area of the image.,The tumor is marked in position center and near the center.,train
polyp_endoscopy/train_masks/108.png,108.png,What is the location of the marked area in the medical image?,The marked area is positioned centrally within the image.,The tumor is marked in position center and near the center.,train
polyp_endoscopy/train_masks/109.png,109.png,Where is the polyp located in the image?,The polyp is situated near the center of the image.,In position center and the tumor is near the center of the image.,train
polyp_endoscopy/train_masks/11.png,11.png,In which part of the image is the tumor found?,"The tumor is located towards the top left side of the image, away from the central area.",The tumor is positioned in top left and far from the center.,train
polyp_endoscopy/train_masks/110.png,110.png,What is the location of the tumor relative to the image?,The tumor is positioned close to the center of the image.,The tumor is positioned in center and close to the center.,train
polyp_endoscopy/train_masks/111.png,111.png,Where is the tumor located in the medical image?,The tumor is situated in the central region of the image.,The tumor is present in position center and near the center.,train
polyp_endoscopy/train_masks/112.png,112.png,Can you describe the location of the polyp in the image?,The polyp is found near the central area of the image.,The tumor is situated in position center and close to the center.,train
polyp_endoscopy/train_masks/113.png,113.png,Can you describe the position of the lesion in the image?,The lesion is found in the central part of the image.,Position center shows the tumor and which is near the center.,train
