image_path,image_name,question,answer,position,split
skin_rgbimage/train_masks/ISIC_0000000_Segmentation.png,ISIC_0000000,Where is the benign skin lesion situated in the image?,The benign skin tumour is located near the central area of the image.,Position center reveals the tumor and which is near the center.,train
skin_rgbimage/train_masks/ISIC_0000001_Segmentation.png,ISIC_0000001,In which part of the image is the skin growth found?,The skin tumour is positioned close to the middle of the image and is classified as benign.,The tumor is detected in position center and close to the center.,train
skin_rgbimage/train_masks/ISIC_0000002_Segmentation.png,ISIC_0000002,Can you describe the location of the malignant skin lesion?,The malignant skin tumour is situated in the central area of the image.,The tumor is visible in position center and close to the center.,train
skin_rgbimage/train_masks/ISIC_0000004_Segmentation.png,ISIC_0000004,Where is the skin lesion situated in the image?,The malignant skin tumour is located near the central area of the image.,Position center shows the tumor and which is near the center.,train
skin_rgbimage/train_masks/ISIC_0000006_Segmentation.png,ISIC_0000006,In which part of the image is the skin tumour found?,"The skin tumour, which is benign, is positioned close to the center of the image.",Position center contains the tumor and which is near the center.,train
skin_rgbimage/train_masks/ISIC_0000007_Segmentation.png,ISIC_0000007,Can you describe the location of the skin mass in the image?,The benign skin tumour is situated in the central area of the image.,The tumor appears to be located in position center and which is near the center.,train
skin_rgbimage/train_masks/ISIC_0000008_Segmentation.png,ISIC_0000008,Where is the skin lesion situated in the image?,The benign skin tumour is located in the central region of the image.,The tumor is present in position center and near the center.,train
skin_rgbimage/train_masks/ISIC_0000009_Segmentation.png,ISIC_0000009,In which part of the image can the skin growth be found?,"The skin tumour, which is benign, is positioned close to the middle of the image.",The tumor lies in position center and near the center of the image.,train
skin_rgbimage/train_masks/ISIC_0000010_Segmentation.png,ISIC_0000010,What is the location of the skin tumour in the image?,The skin tumour is located in the central area and is of a benign type.,The tumor is present in position center and near the center.,train
skin_rgbimage/train_masks/ISIC_0000011_Segmentation.png,ISIC_0000011,Where is the skin lesion situated in the image?,The benign skin tumour is located in the central region of the image.,The tumor is found in position center and which is near the center.,train
